t(s),Total retention volume 6,Total retention volume 7,Total retention volume 8,Total solute volume 6,Total solute volume 7,Total solute volume 8,Flux surface 10: solute,Flux surface 11: solute,Flux surface 12: solute,Flux surface 14: solute,Flux surface 13: solute,Average T surface 10,Flux surface 15: solute
71402.74938683983,869219102843354.8,15928137994474.982,69158643579449.86,199541082401373.94,15927578750167.715,66441199148874.234,-115495792.52996616,8272283669.140663,-177355227.43790656,1.2813761703550147e-32,-49974344596.10252,392.73067810115657,129343558.4540393
79543.02432552382,900647672828654.4,18280715401331.55,87202388604913.9,201345858232040.75,18280071362957.01,83701565768151.05,-133329079.67932346,8349110641.089796,-193191893.059492,4.5772356480061025e-32,-50028548191.72563,392.73067810115657,142456401.95261142
88497.3267580762,931589503984165.4,20804508260533.45,108411186112119.33,203025057379877.53,20803772776060.383,103966156081181.39,-151056605.40988576,8418684193.464591,-207934421.32555112,1.105360582356014e-31,-50079445095.40744,392.73067810115657,154758558.54307747
98347.05943388383,962039785026557.9,23513183037654.508,133098976335323.56,204583424376071.56,23512348893372.03,127526981818693.88,-168487429.02561903,8481368602.549106,-221478313.7181045,1.194141516661548e-32,-50127285405.51138,392.73067810115657,166140962.00770837
109181.76537727221,992011098099088.8,26424603646202.754,161597662305453.94,206026647671356.1,26423662908123.832,154691585014555.5,-185526166.06868103,8537592481.479614,-233779851.50344688,-1.6830979279642758e-30,-50172280997.60941,392.73067810115657,176556854.6325361
121099.94191499944,1021531146512554.6,29560548105397.426,194261960105948.6,207361253422837.9,29559491967660.79,185787355211945.22,-202163277.6579823,8587836547.793781,-244848646.58518898,-1.139119810076517e-29,-50214613936.386055,392.73067810115657,186013853.45603395
134209.9361064994,1050639717928788.9,32946355885323.344,231474919805942.78,208594401829821.03,32945174528024.05,221166418687532.22,-218459400.75747728,8632615657.317657,-254737917.36788929,-5.078205336040068e-29,-50254443328.50409,392.73067810115657,194563245.00939983
148630.92971714935,1079385254120708.9,36610568067941.086,273653918262833.53,209733629625865.28,36609250524653.914,261210901567801.38,-234527400.02948028,8672458430.311323,-263533448.99018845,-1.7977613440404022e-28,-50291910824.92985,392.73067810115657,202288068.0288483
164494.0226888643,1107821399779090.9,40584611079036.58,321256937049041.7,210786580398421.47,40583145112498.53,306338378619570.5,-250515004.095951,8707887441.21719,-271342289.1759589,-5.498861841971317e-28,-50327144953.54781,392.73067810115657,209291384.410038
181943.42495775074,1136003851783329.5,44902559967055.12,374788978024847.8,211760757192733.25,44900931950176.26,357007355018928.4,-266589906.89018354,8739402253.00889,-278282190.1595176,-1.5928049542353816e-27,-50360264445.113014,392.73067810115657,215685841.48131353
