t(s),Total solute volume 6,Total 1 volume 6,Total 2 volume 6,Total retention volume 6,Total solute volume 7,Total 1 volume 7,Total 2 volume 7,Total retention volume 7,Total solute volume 8,Total 1 volume 8,Total 2 volume 8,Total retention volume 8,Flux surface 11: solute,Flux surface 12: solute,Flux surface 13: solute,Flux surface 9: solute,Flux surface 14: solute,Flux surface 10: solute
883716.1150275592,331457788493.1314,16816503027610.62,105725208622846.55,122873169438949.64,74557239044.18408,0.0,3049591.981383844,74560288636.16559,217707722110.8036,0.0,9198555398.329948,226906277509.13177,-13741465.341550196,-1025104.0713270822,-114.84274262795252,-2085953.6915254847,-646917.0666290061,-4235341.945372072
975687.7265303152,325927452673.32275,16535922235964.643,103961280842260.48,120823130530900.05,70676481776.1208,0.0,2890858.5519059664,70679372634.67276,206219415021.2372,0.0,8713153256.756975,214932568277.9936,-13364045.321927542,-1014094.4753948132,-114.726034022998,-1972299.1152569163,-612676.250069216,-4010709.788111163
1076856.4991833468,320069479178.16614,16238718761135.143,102092847190343.08,118651635430657.8,66853628688.02577,0.0,2734493.5594185507,66856363181.585144,194925409018.11646,0.0,8235960676.04063,203161369694.15497,-12980684.989267064,-1002377.6602383815,-114.59579554624986,-1863379.779282962,-579032.2750350819,-3790041.078017879
1188142.1491016815,313872292593.93976,15924305320980.4,100116214965065.56,116354392578637.56,63096536103.914474,0.0,2580818.348743747,63099116922.26353,183846513160.58478,0.0,7767856878.374688,191614370038.9607,-12591512.143567106,-989888.7525073272,-114.45028112478906,-1759060.5360797227,-546044.8537576693,-3573724.965846893
1310556.3640118497,307325028942.7266,15592130727614.398,98027918336921.03,113927374093478.38,59412683765.7606,0.0,2430138.8614834165,59415113904.62237,173002491120.77344,0.0,7309676916.523307,180312168037.2968,-12196645.568039503,-976555.5919701322,-114.28748578111268,-1659202.385325956,-513770.69692465797,-3362130.7289346396
1445212.0004130348,300417768498.72107,15241691699344.086,95824792611324.36,111366902079168.28,55809149858.41689,0.0,2282744.614471286,55811432603.03123,162412000237.5037,0.0,6862209098.712083,169274209336.2162,-11796199.310596352,-962297.687390014,-114.10510125952179,-1563664.154457342,-482263.33413150854,-3155606.6524082734
1593333.2004543385,293141804965.28326,14872546517373.568,93504060090129.05,108669748412468.7,52292590704.104904,0.0,2138907.8692225907,52294729611.974236,152092542679.09848,0.0,6426192925.149395,158518735604.24756,-11390289.000656506,-947025.0679443919,-113.90046261634565,-1472304.0452036685,-451572.9719647875,-2954479.139535241
1756266.5204997724,285489954346.81366,14484330696442.285,91063428596013.4,105833249246803.56,48869224399.49226,0.0,1998882.9626465528,48871223282.45504,142060426210.2339,0.0,6002317430.337048,148062743640.57126,-10979040.143587386,-930637.1834381124,-113.67048385765791,-1384981.058639135,-421746.381690919,-2759051.9991707695
1935493.1725497497,277456906515.75085,14076774821601.758,88501203616858.53,102855435344974.92,45544817722.67367,0.0,1862905.771506649,45546680628.444786,132330732522.48662,0.0,5591219844.961435,137921952367.44852,-10562598.234659888,-913022.1228208113,-113.41158050749385,-1301556.3115995321,-392826.8099545509,-2569605.8694372405
2132642.489804725,269039621827.42194,13649724670516.402,85816414820797.3,99735179113139.88,42324675741.63411,0.0,1731193.2873787933,42326406934.92158,122917291559.93828,0.0,5193484511.086972,128110776071.02489,-10141140.488275276,-894056.5373464456,-113.11957681151591,-1221894.2529646438,-364853.90724926325,-2386397.747019856
2349506.738785198,260237774022.9841,13203163684198.13,83008957337630.53,96472358795852.16,39213633701.96624,0.0,1603943.2848369123,39215237645.25107,113832660793.97656,0.0,4809642006.463353,118642302800.4399,-9714888.989638306,-873606.7443633229,-112.78959510597016,-1145863.7680848006,-337863.6704631092,-2209660.602262403
2588057.4126637178,251054238909.83884,12737237760278.379,80079747643867.17,93068039643054.45,36216050906.10423,0.0,1481334.0710974026,36217532240.17551,105088108850.02838,0.0,4440168452.71003,109528277302.73813,-9284125.12708757,-851531.5196451971,-112.41592469416918,-1073339.1117484723,-311888.39719646785,-2039603.0694242392
2592000.0,250902596418.30997,12729544189942.76,80031379195571.73,93011825981933.14,36166624430.696205,0.0,1479312.3950669372,36168103743.09121,104943925107.7038,0.0,4434076421.840382,109378001529.54372,-9277016.156037595,-851166.7910841027,-112.40974602830671,-1072143.499902266,-311460.107842806,-2036799.1121446034
